defect_id,source_artifact,observed_on_utc,severity,stage_tag,domain,user_prompt_excerpt,observed_behavior,expected_behavior,status,next_phase
UAT-DOC-01-001,impl_factory/04_automation/logs/20260219T102236Z_phase6_canary_uat_raw_v3.json,2026-02-19T10:22:36Z,high,execution_loop,sales,"Show details for Sales Invoice ACC-SINV-2026-00013","Returned empty Sales Invoice table (rows=0) while semantic gate still marked pass.","Return targeted document details or explicit no-data envelope with applied filters.",open,R2
R0-GATE-001,impl_factory/04_automation/logs/20260220T063410Z_phase8_release_gate_stage10.json,2026-02-20T06:34:10Z,critical,execution_loop,platform,canary_stage_10,"FAC preconditions failed (`fac_preconditions_ok=false`) and GO was blocked.","Canary preconditions must pass before gate scoring.",open,R0
R0-GATE-002,impl_factory/04_automation/logs/20260220T063410Z_phase8_release_gate_stage10.json,2026-02-20T06:34:10Z,high,execution_loop,platform,canary_stage_10,"P95 latency (10,581 ms) breached SLA (5,000 ms).","P95 latency must stay within SLA for gate pass.",open,R1
R0-GATE-003,impl_factory/04_automation/logs/20260220T063410Z_phase8_release_gate_stage10.json,2026-02-20T06:34:10Z,high,quality_gate,platform,canary_stage_10,"Mandatory pass rate was not 100% (25/26).","Mandatory scenarios must pass 100% on first run.",open,R5
R0-GATE-004,impl_factory/04_automation/logs/20260220T063410Z_phase8_release_gate_stage10.json,2026-02-20T06:34:10Z,high,quality_gate,platform,canary_stage_10,"Role parity failed (`reader=1.0`, `operator=0.8571`).","Reader and operator runs should have no critical parity regressions.",open,R5
R0-SHADOW-001,impl_factory/04_automation/logs/20260219T123637Z_phase8_shadow_diff.json,2026-02-19T12:36:37Z,critical,execution_loop,platform,shadow_diff,"Shadow diff reported 21 regressions out of 23 cases.","v3 shadow should not regress baseline behavior before promotion.",open,R0
MAN-001,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,medium,clarification_policy,general,"Hello","Assistant asked business-target clarification instead of natural greeting.","Greeting should respond naturally and invite business ask without blocker prompt.",open,R4
MAN-002,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,medium,clarification_policy,general,"What kind of question can you answer?","Assistant repeated generic blocker clarification instead of capability summary.","Provide concise capability summary for non-analytic user query.",open,R4
MAN-003,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,high,capability_resolution,sales,"How many unique customers bought from us last month?","Returned `Customer-wise Item Price` and message `Please select a customer`.","Choose compatible report and return distinct customer count for period.",open,R1
MAN-004,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,high,capability_resolution,sales,"Show sales revenue trend by week for the last 8 weeks","Mis-routed to `Supplier-Wise Sales Analytics` with zero revenue rows.","Route to weekly sales trend report with correct week aggregation.",open,R1
MAN-005,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,critical,capability_resolution,inventory,"Top 15 items by inventory value in Yangon Main Warehouse","Returned `Production Analytics` unrelated table.","Select inventory valuation-capable report or explicit unsupported envelope.",open,R1
MAN-006,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,high,quality_gate,inventory,"Which items are slow-moving (no sales in the last 60 days)?","Returned sold-item transaction list with duplicates.","Return items with no sales movement in period, deduplicated and constrained.",open,R1
MAN-007,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,high,capability_resolution,purchasing,"Top 10 suppliers by purchase amount last month","Returned unsupported/generic fallback repeatedly.","Use purchase-capable report or explicit unsupported envelope with reason.",open,R1
MAN-008,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,high,response_shaping,purchasing,"Not supplier group, show supplier name with payable amount","Returned `Supplier Group` instead of supplier names.","Honor requested dimension and minimal columns.",open,R3
MAN-009,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,critical,context_binding,finance,"Show the previous receivable result in million","Returned payable supplier table from another context.","Resolve `previous` to active result and keep topic binding.",open,R2
MAN-010,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,critical,transform_last,finance,"Show As Million (after territory comparison)","Transformed unrelated payable table instead of territory comparison.","Apply transform only to last active result.",open,R3
MAN-011,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,high,transform_last,finance,"No I mean compare Yangon and Mandalay and show as million","Returned Yangon=0, Mandalay=0 after follow-up correction.","Preserve last comparison data and scale correctly.",open,R3
MAN-012,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,high,context_binding,sales,"Total amount of that invoice? show as million","Returned unrelated total `52.85`, then `No records found` for same invoice.","Bind `that invoice` to prior invoice detail context and compute correctly.",open,R2
MAN-013,manual_transcript_2026-02-20_21,2026-02-21T00:00:00Z,high,capability_resolution,sales,"I am requesting for the information of invoice ACC-SINV-2026-00006","Routed to generic `Customer-wise Item Price` / customer-filter blocker.","Use document-aware retrieval path for explicit invoice ID.",open,R1
